,left x,left y,right x,right y
631,2334,2095,4461,1056
632,2338,2082,4469,1056
633,2340,2092,4475,1057
634,2342,2097,4478,1059
635,2346,2088,4484,1060
636,2351,2088,4493,1061
637,2356,2095,4502,1060
638,2360,2099,4509,1060
639,2364,2102,4515,1058
640,2372,2097,4527,1054
641,2376,2103,4537,1052
642,2379,2091,4544,1051
643,2379,2097,4551,1050
644,2380,2090,4559,1046
645,2383,2105,4564,1045
646,2387,2097,4568,1047
647,2390,2086,4569,1049
648,2391,2101,4570,1051
649,2393,2103,4569,1052
650,2398,2096,4575,1054
651,2400,2101,4589,1054
652,2402,2099,4596,1055
653,2400,2108,4599,1055
654,2398,2093,4595,1057
655,2396,2103,4592,1058
656,2397,2097,4594,1058
657,2400,2097,4598,1057
658,2400,2105,4603,1057
659,2401,2095,4604,1057
660,2402,2096,4604,1057
661,2405,2104,4607,1056
662,2409,2106,4614,1053
663,2412,2108,4621,1050
664,2414,2106,4625,1047
665,2417,2105,4631,1044
666,2421,2098,4636,1041
667,2424,2102,4645,1038
668,2427,2084,4653,1036
669,2429,2099,4659,1037
670,2431,2094,4664,1038
671,2432,2096,4666,1040
672,2432,2111,4667,1042
673,2434,2102,4668,1046
674,2436,2110,4671,1050
675,2438,2103,4679,1051
676,2438,2109,4682,1051
677,2436,2111,4682,1053
678,2434,2103,4678,1054
679,2432,2103,4672,1056
680,2430,2110,4667,1056
681,2431,2109,4665,1057
682,2433,2102,4671,1055
683,2432,2113,4673,1056
684,2432,2112,4671,1056
685,2434,2117,4672,1056
686,2439,2098,4680,1053
687,2442,2105,4689,1050
688,2443,2107,4694,1044
689,2445,2112,4696,1045
690,2450,2101,4703,1044
691,2454,2109,4715,1043
692,2457,2101,4720,1040
693,2458,2114,4719,1033
694,2463,2109,4727,1032
695,2465,2106,4734,1034
696,2466,2108,4742,1036
697,2467,2111,4744,1039
698,2470,2105,4746,1040
699,2474,2113,4756,1038
700,2477,2121,4766,1036
701,2480,2108,4774,1035
702,2483,2113,4783,1034
703,2487,2103,4794,1034
704,2491,2111,4805,1033
705,2495,2113,4817,1033
706,2499,2108,4828,1033
707,2501,2099,4837,1033
708,2501,2107,4842,1034
709,2502,2106,4846,1037
710,2504,2111,4849,1037
711,2510,2111,4857,1036
712,2517,2112,4872,1033
713,2522,2110,4887,1031
714,2526,2106,4894,1028
715,2528,2110,4907,1025
716,2528,2112,4907,1026
717,2528,2113,4910,1025
718,2529,2108,4916,1025
719,2530,2101,4930,1024
720,2530,2107,4935,1027
721,2532,2107,4935,1031
722,2533,2107,4939,1034
723,2535,2097,4938,1037
724,2537,2101,4939,1038
725,2538,2108,4954,1035
726,2541,2098,4963,1034
727,2541,2108,4969,1034
728,2543,2099,4977,1034
729,2545,2102,4984,1035
730,2547,2102,4995,1033
731,2551,2095,4999,1033
732,2552,2094,5007,1033
733,2553,2101,5011,1033
734,2556,2093,5018,1033
735,2558,2101,5025,1033
736,2561,2100,5033,1033
737,2564,2100,5044,1030
738,2568,2096,5053,1029
739,2570,2102,5061,1030
740,2571,2102,5064,1033
741,2572,2101,5070,1035
742,2574,2103,5073,1037
743,2578,2103,5085,1035
744,2580,2104,5092,1037
745,2580,2104,5096,1037
746,2579,2113,5094,1039
747,2580,2113,5095,1040
748,2585,2103,5102,1038
749,2589,2113,5117,1034
750,2592,2108,5130,1031
751,2593,2101,5135,1028
752,2593,2105,5137,1026
753,2595,2096,5140,1025
754,2597,2104,5150,1021
755,2600,2104,5160,1019
756,2603,2103,5172,1016
757,2605,2091,5179,1018
758,2606,2095,5184,1018
759,2608,2094,5194,1017
760,2611,2092,5201,1018
761,2614,2099,5213,1017
762,2618,2096,5231,1015
763,2623,2094,5246,1016
764,2627,2095,5261,1015
765,2631,2096,5275,1014
766,2634,2098,5291,1014
767,2635,2105,5302,1014
768,2637,2101,5310,1015
769,2638,2103,5318,1016
770,2640,2103,5322,1019
771,2643,2096,5337,1018
772,2646,2096,5347,1019
773,2648,2103,5351,1019
774,2651,2096,5368,1017
775,2653,2100,5379,1017
776,2655,2104,5383,1018
777,2657,2101,5398,1017
778,2657,2106,5398,1019
779,2659,2101,5402,1019
780,2661,2102,5407,1018
781,2663,2105,5420,1012
782,2665,2101,5429,1010
783,2666,2102,5434,1011
784,2667,2105,5440,1012
785,2669,2103,5446,1012
786,2671,2102,5452,1011
787,2673,2107,5463,1010
788,2675,2106,5471,1008
789,2677,2099,5477,1009
790,2678,2101,5484,1009
791,2680,2100,5491,1008
792,2683,2104,5505,1003
793,2687,2095,5523,999
794,2689,2103,5535,996
795,2691,2100,5547,997
796,2693,2095,5554,998
797,2694,2098,5563,997
798,2696,2100,5571,996
799,2698,2104,5583,997
800,2700,2099,5593,999
801,2700,2105,5600,1001
802,2700,2103,5594,1006
803,2701,2108,5602,1005
804,2704,2101,5612,1004
805,2705,2105,5624,1002
806,2705,2104,5631,1002
807,2705,2098,5629,1004
808,2704,2105,5633,1001
809,2705,2102,5644,997
810,2711,2094,5696,987
811,2714,2097,5708,987
812,2715,2104,5710,988
813,2717,2100,5714,989
814,2718,2097,5705,992
815,2719,2104,5716,988
816,2722,2100,5724,987
817,2724,2098,5734,985
818,2726,2103,5750,982
819,2728,2094,5759,982
820,2728,2102,5759,983
821,2730,2101,5759,985
822,2733,2099,5759,985
823,2736,2101,5759,985
824,2741,2099,5759,984
825,2747,2096,5759,981
826,2753,2099,5759,976
827,2759,2101,5759,972
828,2763,2100,5759,968
829,2766,2095,5759,968
830,2768,2097,5759,967
831,2768,2099,5759,965
832,2766,2096,5759,966
833,2762,2100,5759,971
834,2759,2095,5759,979
835,2755,2097,5759,987
836,2753,2087,5759,991
837,2752,2090,5759,991
838,2754,2087,5759,988
839,2755,2089,5759,984
840,2755,2091,5759,983
841,2754,2084,5759,984
842,2752,2087,5759,988
